年份,未滿15歲,15-19歲,20-24歲,25-29歲,30-34歲,35-39歲,40-44歲,45-49歲,50-54歲,55-59歲,60-64歲,65歲以上
93年,65,10293,47031,96262,58180,24246,11758,6511,3686,1666,912,2296
94年,29,6303,46186,112193,65868,25040,11615,6457,3884,1699,825,2181
95年,27,4953,41939,113303,71412,26701,11807,6425,4000,1911,828,2032
96年,24,4615,37067,102399,72425,26923,11696,6303,3937,1978,803,1912
97年,17,4284,34182,122539,89331,30801,12585,6823,4199,2311,958,1702
98年,3,3273,25056,81569,69283,26562,11483,6807,4473,2583,1097,2009
99年,7,2940,25227,94440,91598,31845,13230,7561,4662,2777,1266,2085
100年,5,3110,27700,113107,112369,39415,15304,8283,5016,3117,1386,1842
101年,6,3166,26004,90462,98129,36328,14217,7667,4697,2824,1576,1692
102年,12,3301,25595,88895,102956,40645,15129,7802,4753,2959,1667,1558