年份,15-24歲 ,25-29歲 ,30-34歲 ,35-39歲 ,40-44歲 ,45-49歲 ,50-54歲 ,55-59歲 ,60-64歲 ,65歲以上 
2006,7.9,4.8,2.9,2.2000000000000002,2.9,2.4,1.5,4.7,0.5,3.4
2007,9,4.9000000000000004,3.6,2.1,2.9,2.1,1.9,4.0999999999999996,0.6,2.4
2008,10.6,5.3,2.8,1.8,2.2000000000000002,2.2999999999999998,2.8,3.1,0,0
2009,11.5,7.3,4.7,3,3.3,4.5,3,1.7,1.9,0
2010,10.1,6.1,4.2,3.5,2.9,2.9,2.9,2.7,0.5,0
2011,10.7,5.7,3.4,2.6,2.4,1.9,2,0.9,0.5,0
2012,10.3,5.3,3.9,2.5,2.2999999999999998,2.1,1.3,1,0.5,1.4
2013,8.8000000000000007,6.2,3.3,4,1.9,1.9,1.6,2,2.2999999999999998,0
2014,9.6999999999999993,6.5,3.1,2.7,2.2999999999999998,1.8,2.2000000000000002,2.1,2.2000000000000002,0.5
2015,9.5,6.3,3.8,3.3,1.3,1.9,2.2999999999999998,1.2,4,0