年份,研究院(含博士班),大學,專科(含二、三年制、五專後二年),高中,高職(含五專前三年),國中
86年,31491,463708,635396,683696,1743090,1825475
87年,38970,492308,663614,612782,1705635,1828615
88年,49719,549213,743105,645410,1850493,1815774
89年,65472,665188,861374,664594,1948117,1691507
90年,83599,799622,963749,683862,2005497,1534537
91年,103401,932477,1035542,700065,2038058,1422876
92年,149470,1147716,1174814,797298,2093241,1259306
93年,170056,1254490,1175540,808884,2104584,1257430
94年,195103,1363958,1176677,829412,2116595,1251994
95年,223995,1480123,1170062,847717,2132964,1243700
96年,254064,1613704,1159540,848852,2140780,1240090
97年,283630,1737447,1147976,846008,2151135,1251019
98年,311111,1857908,1134942,853822,2174827,1252405
99年,341000,1990292,1126839,851553,2185221,1247348
100年,378550,2104360,1121956,857018,2193653,1239189
101年,413781,2232799,1123359,841202,2194416,1239258
102年,444765,2359429,1120430,825969,2188991,1226659
103年,475124,2467560,1120228,820312,2188088,1219411