年份,15-24歲 ,25-29歲 ,30-34歲,35-39歲 ,40-44歲 ,45-49歲 ,50-54歲 ,55-59歲 ,60-64歲 ,65歲以上 
2006,10.5,6.2,4.3,2.5,3,1.6,3.8,1.8,1.9,0.7
2007,9,6,4.3,2.2999999999999998,3.1,2.1,2.9,2.7,1.6,0.9
2008,12.5,6.6,3.9,2.7,2.6,2.9,3.6,2.8,1.7,1
2009,16.5,10,6.1,5,5.8,4.0999999999999996,4.5999999999999996,5,3.2,0.1
2010,12.6,8.6999999999999993,6.9,4.4000000000000004,5.4,4.9000000000000004,4.5999999999999996,2.6,1.1000000000000001,0
2011,12.2,7.7,4.8,4.5999999999999996,4,3.7,2.5,3.5,1,0
2012,13.3,7.5,4.5999999999999996,3.9,4,3.3,3.1,2.2000000000000002,2.2999999999999998,0
2013,11,7.4,5.0999999999999996,4.7,2.8,3.7,2.7,1.8,2.7,0
2014,11.4,8.4,4.4000000000000004,3.5,3.8,2.5,2.2000000000000002,2,1.1000000000000001,0.1
2015,10.9,6.5,4.0999999999999996,3.2,3,2.9,3.2,1.2,0.7,0